Offset	Measure	Beat	Beat Strength	Length	Pitches
0.0	1	1.0	1.0	1.0	['E4', 'G4', 'B4']
1.0	1	2.0	0.25	1.0	['E4', 'G4', 'B4']
2.0	1	3.0	0.5	1.0	['B3', 'D4', 'F#4', 'A4', 'D5']
3.0	1	4.0	0.25	0.5	['B3', 'D4', 'F#4', 'A4', 'C5']
3.5	1	4.5	0.125	0.5	['B3', 'D4', 'F#4', 'A4', 'D5']
4.0	2	1.0	1.0	2.0	['C4', 'E4', 'G4', 'B4']
6.0	2	3.0	0.5	1.0	['G3', 'B3', 'D4', 'F#4', 'A4']
7.0	2	4.0	0.25	1.0	['G3', 'B3', 'D4', 'F#4', 'B4']
8.0	3	1.0	1.0	1.0	['A3', 'C4', 'E4', 'G4']
9.0	3	2.0	0.25	0.5	['A3', 'C4', 'E4', 'F#4']
9.5	3	2.5	0.125	0.5	['A3', 'C4', 'E4', 'G4']
10.0	3	3.0	0.5	1.0	['E3', 'G3', 'B3', 'D4', 'E4']
11.0	3	4.0	0.25	0.5	['E3', 'G3', 'B3', 'D4', 'E4']
11.5	3	4.5	0.125	0.5	['E3', 'G3', 'B3', 'D4']
12.0	4	1.0	1.0	1.0	['F3', 'A3', 'C4']
