Offset	Measure	Beat	Beat Strength	Length	Pitches
0.0	1	1.0	1.0	0.25	['D-2', 'D-3', 'D-4', 'F4']
0.25	1	1.5	0.25	0.25	['D-2', 'D-3', 'D-4', 'F4']
0.5	1	2.0	0.5	0.25	['D-2', 'D-3', 'D-4', 'F4', 'A-4']
0.75	1	2.5	0.25	0.25	['D-2', 'D-3', 'D-4', 'F4', 'A-4']
1.0	1	3.0	0.5	0.25	['B-1', 'B-2', 'D-4', 'E-4', 'G4']
1.25	1	3.5	0.25	0.25	['B-1', 'B-2', 'D-4', 'E-4', 'G4']
1.5	2	1.0	1.0	0.25	['A-1', 'A-2', 'C4', 'E-4', 'A-4', 'C5']
1.75	2	1.5	0.25	0.25	['A-1', 'A-2', 'C4', 'E-4', 'A-4', 'C5']
2.0	2	2.0	0.5	0.25	['A-1', 'A-2', 'C4', 'E-4', 'A-4']
2.25	2	2.5	0.25	0.25	['A-1', 'A-2', 'C4', 'E-4', 'A-4']
2.5	2	3.0	0.5	0.25	['A-1', 'A-2', 'C4', 'E-4']
2.75	2	3.5	0.25	0.25	['A-1', 'A-2', 'C4', 'E-4']
3.0	3	1.0	1.0	0.25	['A-1', 'A-2', 'C4', 'E-4']
3.25	3	1.5	0.25	0.25	['A-1', 'A-2', 'C4', 'E-4']
3.5	3	2.0	0.5	0.25	['D-4', 'E-4', 'F4']
3.75	3	2.5	0.25	0.25	['D-4', 'E-4', 'F4']
4.0	3	3.0	0.5	0.25	['B-3', 'D-4', 'E-4']
4.25	3	3.5	0.25	0.25	['B-3', 'D-4', 'E-4']
4.5	4	1.0	1.0	0.25	['C4', 'E-4']
4.75	4	1.5	0.25	0.25	['C4', 'E-4']
5.0	4	2.0	0.5	0.25	['C4', 'E-4']
5.25	4	2.5	0.25	0.25	['C4', 'E-4', 'A-4']
5.5	4	3.0	0.5	0.25	['C4', 'E-4', 'A-4']
5.75	4	3.5	0.25	0.25	['C4', 'E-4', 'A-4']
6.0	5	1.0	1.0	0.25	['B-3', 'D-4', 'E-4', 'G4']
6.25	5	1.5	0.25	0.25	['B-3', 'D-4', 'E-4', 'G4']
6.5	5	2.0	0.5	0.25	['B-3', 'D-4', 'E4', 'A-4']
6.75	5	2.5	0.25	0.25	['B-3', 'D-4', 'E4', 'A-4']
7.0	5	3.0	0.5	0.25	['B-3', 'D-4', 'E4', 'G4']
7.25	5	3.5	0.25	0.25	['B-3', 'D-4', 'E4', 'G4']
7.5	6	1.0	1.0	0.25	['A-3', 'C4', 'E-4', 'G4']
7.75	6	1.5	0.25	0.25	['A-3', 'C4', 'E-4', 'G4']
8.0	6	2.0	0.5	0.25	['A-3', 'C4', 'E-4', 'G4']
8.25	6	2.5	0.25	0.25	['A-3', 'C4', 'F4', 'C5']
8.5	6	3.0	0.5	0.25	['A-3', 'C4', 'F4', 'C5']
8.75	6	3.5	0.25	0.25	['A-3', 'C4', 'F4', 'C5']
9.0	7	1.0	1.0	0.25	['G3', 'E-4', 'G4', 'E-5']
9.25	7	1.5	0.25	0.25	['G3', 'E-4', 'G4', 'E-5']
9.5	7	2.0	0.5	0.25	['G3', 'F4', 'A-4', 'D5']
9.75	7	2.5	0.25	0.25	['G3', 'F4', 'A-4', 'D5']
10.0	7	3.0	0.5	0.25	['G3', 'F4', 'G4', 'B4']
10.25	7	3.5	0.25	0.25	['G3', 'F4', 'G4', 'B4']
10.5	8	1.0	1.0	0.25	['C4', 'E-4', 'G4', 'C5']
10.75	8	1.5	0.25	0.25	['C4', 'E-4', 'G4', 'C5']
11.0	8	2.0	0.5	0.25	['C4', 'F4', 'A-4', 'C5']
11.25	8	2.5	0.25	0.25	['C4', 'F4', 'A-4', 'C5']
11.5	8	3.0	0.5	0.25	['C4', 'G4', 'B-4', 'C5']
11.75	8	3.5	0.25	0.25	['C4', 'G4', 'B-4', 'C5']
12.0	9	1.0	1.0	0.25	['C4', 'A-4', 'C5']
12.25	9	1.5	0.25	0.25	['C4', 'A-4', 'C5']
12.5	9	2.0	0.5	0.25	['F4', 'A-4']
12.75	9	2.5	0.25	0.25	['F4', 'A-4']
13.0	9	3.0	0.5	0.25	['C2', 'C3', 'B-3', 'E4', 'G4']
13.25	9	3.5	0.25	0.25	['C2', 'C3', 'B-3', 'E4', 'G4']
13.5	10	1.0	1.0	0.25	['D-2', 'D-3', 'B-3', 'E4', 'G4']
13.75	10	1.5	0.25	0.25	['D-2', 'D-3', 'B-3', 'E4', 'G4']
14.0	10	2.0	0.5	0.25	['D-2', 'D-3', 'B-3', 'E4', 'G4']
14.25	10	2.5	0.25	0.25	['D-2', 'D-3', 'A-3', 'F4']
14.5	10	3.0	0.5	0.25	['D-2', 'D-3', 'A-3', 'F4']
14.75	10	3.5	0.25	0.25	['D-2', 'D-3', 'A-3', 'F4']
15.0	11	1.0	1.0	0.25	['D-2', 'D-3', 'A-3', 'D-4', 'F4']
15.25	11	1.5	0.25	0.25	['D-2', 'D-3', 'A-3', 'D-4', 'F4']
15.5	11	2.0	0.5	0.25	['D-2', 'D-3', 'A-3', 'F4', 'A-4']
15.75	11	2.5	0.25	0.25	['D-2', 'D-3', 'A-3', 'F4', 'A-4']
16.0	11	3.0	0.5	0.25	['B-1', 'B-2', 'D-4', 'E-4', 'G4']
16.25	11	3.5	0.25	0.25	['B-1', 'B-2', 'D-4', 'E-4', 'G4']
16.5	12	1.0	1.0	0.25	['A-1', 'A-2', 'C4', 'E-4', 'A-4', 'C5']
16.75	12	1.5	0.25	0.25	['A-1', 'A-2', 'C4', 'E-4', 'A-4', 'C5']
17.0	12	2.0	0.5	0.25	['A-1', 'A-2', 'A-4', 'C5']
17.25	12	2.5	0.25	0.25	['A-1', 'A-2', 'C5', 'E-5']
17.5	12	3.0	0.5	0.25	['A-1', 'A-2', 'C5', 'E-5']
17.75	12	3.5	0.25	0.25	['A-1', 'A-2', 'C5', 'E-5']
18.0	13	1.0	1.0	0.25	['A-1', 'A-2', 'E-4', 'C5', 'E-5']
18.25	13	1.5	0.25	0.25	['A-1', 'A-2', 'E-4', 'C5', 'E-5']
18.5	13	2.0	0.5	0.25	['F4', 'B4', 'D5']
18.75	13	2.5	0.25	0.25	['F4', 'B4', 'D5']
19.0	13	3.0	0.5	0.25	['F4', 'B-4', 'D-5']
19.25	13	3.5	0.25	0.25	['E-4', 'B-4', 'D-5']
19.5	14	1.0	1.0	0.25	['E-4', 'A-4', 'C5']
19.75	14	1.5	0.25	0.25	['E-4', 'A-4', 'C5']
20.0	14	2.0	0.5	0.25	['D-4', 'E-4', 'B-4']
20.25	14	2.5	0.25	0.25	['D-4', 'E-4', 'A-4', 'B-4']
20.5	14	3.0	0.5	0.25	['C4', 'E-4', 'A-4']
20.75	14	3.5	0.25	0.25	['C4', 'E-4', 'A-4']
21.0	15	1.0	1.0	0.25	['B3', 'D4', 'G4']
21.25	15	1.5	0.25	0.25	['B3', 'D4', 'G4']
21.5	15	2.0	0.5	0.25	['B3', 'D4', 'G4']
21.75	15	2.5	0.25	0.25	['B3', 'D4', 'A-4']
22.0	15	3.0	0.5	0.25	['B3', 'D4', 'G4']
22.25	15	3.5	0.25	0.25	['B3', 'D4', 'G4']
22.5	16	1.0	1.0	0.25	['C4', 'E-4', 'G4']
22.75	16	1.5	0.25	0.25	['C4', 'E-4', 'G4']
23.0	16	2.0	0.5	0.25	['C4', 'E-4', 'G4']
23.25	16	2.5	0.25	0.25	['C4', 'E-4', 'G4', 'E-5']
23.5	16	3.0	0.5	0.25	['E-4', 'G4', 'E-5']
23.75	16	3.5	0.25	0.25	['E-4', 'G4', 'E-5']
24.0	17	1.0	1.0	0.25	['C2', 'C3', 'E-4', 'G4', 'E-5']
24.25	17	1.5	0.25	0.25	['C2', 'C3', 'E-4', 'G4', 'E-5']
24.5	17	2.0	0.5	0.25	['C2', 'C3', 'E-4', 'G4', 'C5']
24.75	17	2.5	0.25	0.25	['C2', 'C3', 'E-4', 'G4', 'C5']
25.0	17	3.0	0.5	0.25	['C3', 'G3', 'E-4', 'B-4']
25.25	17	3.5	0.25	0.25	['C3', 'G3', 'E-4', 'B-4']
25.5	18	1.0	1.0	0.25	['C3', 'G-3', 'E-4', 'A4']
25.75	18	1.5	0.25	0.25	['C3', 'G-3', 'E-4', 'A4']
26.0	18	2.0	0.5	0.25	['C3', 'F3', 'F4', 'A4']
26.25	18	2.5	0.25	0.25	['C3', 'F3', 'F4', 'A4']
26.5	18	3.0	0.5	0.25	['C3', 'E-3', 'G-4', 'A4']
