0.0	1	1	1.0	0.17	['D2', 'D3']	D	I
0.17	1	1.33	0.0625	0.17	['D2', 'D3', 'E#3']		
0.33	1	1.67	0.0625	0.17	['D2', 'D3', 'F#3']		
0.5	1	2	0.25	0.17	['A3']		
0.67	1	2.33	0.0625	0.17	['D4']		
0.83	1	2.67	0.0625	0.17	['F#4']		
1.0	1	3	0.5	0.17	['F#3', 'A3', 'A4']		
1.17	1	3.33	0.0625	0.17	['F#3', 'A3', 'E#4']		
1.33	1	3.67	0.0625	0.17	['F#3', 'A3', 'F#4']		
1.5	1	4	0.25	0.17	['D4']		
1.67	1	4.33	0.0625	0.17	['A3']		
1.83	1	4.67	0.0625	0.17	['F#3']		
2.0	2	1	1.0	0.17	['D2', 'D3']	D	I
2.17	2	1.33	0.0625	0.17	['D2', 'D3', 'E#3']		
2.33	2	1.67	0.0625	0.17	['D2', 'D3', 'F#3']		
2.5	2	2	0.25	0.17	['A3']		
2.67	2	2.33	0.0625	0.17	['D4']		
2.83	2	2.67	0.0625	0.17	['F#4']		
3.0	2	3	0.5	0.17	['F#3', 'A3', 'A4']		
3.17	2	3.33	0.0625	0.17	['F#3', 'A3', 'E#4']		
3.33	2	3.67	0.0625	0.17	['F#3', 'A3', 'F#4']		
3.5	2	4	0.25	0.17	['D4', 'F#4']		
3.67	2	4.33	0.0625	0.08	['A3', 'F#4']		
3.75	2	4.5	0.125	0.08	['A3', 'G4']		
3.83	2	4.67	0.0625	0.17	['F#3', 'G4']		
4.0	3	1	1.0	0.17	['D2', 'D3', 'G#4']	D	I
4.17	3	1.33	0.0625	0.17	['D2', 'D3', 'E#3', 'G#4']		
4.33	3	1.67	0.0625	0.17	['D2', 'D3', 'F#3', 'G#4']		
4.5	3	2	0.25	0.17	['A3', 'A4']		
4.67	3	2.33	0.0625	0.17	['D4', 'A4']		
