Offset	Measure	Beat	Beat Strength	Length	Pitches
16.0	4	3.5	0.125	0.5	['G1', 'G2', 'B-3', 'E-4', 'G4', 'E-5']
16.5	4	4.0	0.25	0.5	['A-1', 'A-2', 'C5']
17.0	4	4.5	0.125	0.5	['A-1', 'A-2', 'C4', 'E-4', 'C5']
17.5	5	1.0	1.0	0.5	['B-1', 'B-2', 'B-4']
18.0	5	1.5	0.125	0.5	['B-1', 'B-2', 'B-3', 'E-4', 'G4', 'B-4']
18.5	5	2.0	0.25	0.5	['B-1', 'B-2', 'B-4']
19.0	5	2.5	0.125	0.5	['B-1', 'B-2', 'A-3', 'D4', 'F4']
19.5	5	3.0	0.5	0.5	['E-1', 'E-2', 'G4']
20.0	5	3.5	0.125	0.5	['E-1', 'E-2', 'G3', 'E-4', 'G4']
20.5	5	4.0	0.25	0.5	['E-1', 'E-2', 'B-4']
21.0	5	4.5	0.125	0.5	['E-1', 'E-2', 'E-4', 'G4', 'B-4']
21.5	6	1.0	1.0	0.5	['D-5']
22.0	6	1.5	0.125	0.5	['F-3', 'A-4', 'D-5', 'A-5']
22.5	6	2.0	0.25	0.5	['F-3', 'A-3', 'G4', 'D-5', 'G5']
23.0	6	2.5	0.125	0.5	['F-3', 'D-4', 'A-4', 'B-4', 'D-5', 'G5']
23.5	6	3.0	0.5	0.5	['E-3', 'G4', 'B-4', 'D-5', 'B-5']
24.0	6	3.5	0.125	0.5	['E-3', 'G3', 'B-4', 'D-5', 'B-5']
24.5	6	4.0	0.25	0.5	['E-3', 'B-3', 'B-4', 'D-5', 'D5', 'E-5']
25.0	6	4.5	0.125	0.5	['E-3', 'D-4', 'B-4', 'D-5', 'E-5']
25.5	7	1.0	1.0	0.5	['D-3', 'F-5']
26.0	7	1.5	0.125	0.5	['D-3', 'F-3', 'A-4', 'D-5', 'F-5', 'A-5']
26.5	7	2.0	0.25	0.5	['D-3', 'A-3', 'G4', 'D-5', 'F-5', 'G5']
27.0	7	2.5	0.125	0.5	['B-2', 'A-4', 'D-5', 'F-5', 'G5']
27.5	7	3.0	0.5	0.5	['G2', 'B-4', 'D-5', 'E-5', 'B-5']
28.0	7	3.5	0.125	0.5	['G2', 'B-2', 'B-4', 'D-5', 'E-5', 'B-5']
28.5	7	4.0	0.25	0.5	['G2', 'D-3', 'B-4', 'D-5', 'E-5']
29.0	7	4.5	0.125	0.5	['G2', 'E-3', 'B-4', 'D-5', 'E-5']
29.5	8	1.0	1.0	0.5	['A-2', 'C5']
30.0	8	1.5	0.125	0.5	['A-2', 'C4', 'A-4', 'C5']
30.5	8	2.0	0.25	0.5	['A-2', 'E-4', 'G4', 'C5']
31.0	8	2.5	0.125	0.5	['G-2', 'C4', 'A-4', 'C5']
31.5	8	3.0	0.5	0.5	['F2', 'E-5']
32.0	8	3.5	0.125	0.5	['F2', 'A-3', 'A-4', 'D-5']
32.5	8	4.0	0.25	0.5	['F2', 'D-4', 'G4', 'D-5']
33.0	8	4.5	0.125	0.5	['E-2', 'A-3', 'A-4', 'C5']
33.5	9	1.0	1.0	1.0	['D2', 'C5']
34.5	9	2.0	0.25	0.5	['D2', 'A-3', 'F4', 'B-4', 'C5']
35.0	9	2.5	0.125	0.5	['D2', 'A-3', 'F4', 'B-4']
35.5	9	3.0	0.5	1.0	['E-2', 'B-4']
36.5	9	4.0	0.25	1.0	['E-2', 'G3', 'D-4', 'E-4', 'B4']
37.5	10	1.0	1.0	0.5	['A-3', 'C4', 'A-4', 'C5']
38.0	10	1.5	0.125	0.5	['A-1', 'A-2', 'A-3', 'C4', 'A-4', 'C5']
38.5	10	2.0	0.25	0.5	['G1', 'A-3', 'C4', 'A-4', 'C5']
39.0	10	2.5	0.125	0.5	['A-1', 'A-2', 'A-3', 'C4', 'G-4', 'E-5']
39.5	10	3.0	0.5	0.5	['A-3', 'D-4', 'F4', 'A-5']
40.0	10	3.5	0.125	0.5	['A-1', 'A-2', 'A-3', 'D-4', 'F4', 'F5']
40.5	10	4.0	0.25	0.5	['G1', 'A-3', 'D-4', 'F4', 'D-5']
41.0	10	4.5	0.125	0.5	['A-1', 'A-2', 'A-3', 'C4', 'E-4', 'C5']
41.5	11	1.0	1.0	1.0	['F3', 'A-3', 'D4', 'C5']
42.5	11	2.0	0.25	0.5	['B-1', 'B-2', 'F3', 'A-3', 'D4', 'C5']
43.0	11	2.5	0.125	0.5	['B-1', 'B-2', 'F3', 'A-3', 'D4', 'B-4']
43.5	11	3.0	0.5	1.0	['G3', 'D-4', 'F5']
44.5	11	4.0	0.25	0.5	['E-1', 'E-2', 'G3', 'D-4', 'F5']
45.0	11	4.5	0.125	0.5	['E-1', 'E-2', 'G3', 'D-4', 'E-5']
45.5	12	1.0	1.0	1.0	['E-3', 'G3', 'B-3', 'D-5']
46.5	12	2.0	0.25	1.0	['A-1', 'A-2', 'E-3', 'G3', 'B-3', 'D-5']
47.5	12	3.0	0.5	0.5	['A-1', 'A-2', 'E-3', 'A-3', 'C4', 'C5']
48.0	12	3.5	0.125	0.5	['E-2', 'E-3', 'A-3', 'C4', 'C5']
48.5	12	4.0	0.25	0.5	['A-2']
49.0	12	4.5	0.125	0.5	['C3']
49.5	13	1.0	1.0	0.5	['E-3']
50.0	13	1.5	0.125	0.5	['A-3']
50.5	13	2.0	0.25	0.5	['C4']
51.0	13	2.5	0.125	0.5	['E-4']
51.5	13	3.0	0.5	0.5	['A-4']
52.0	13	3.5	0.125	0.5	['C4', 'A-4']
52.5	13	4.0	0.25	0.5	['F4', 'A-4', 'A-5']
53.0	13	4.5	0.125	0.5	['D4', 'A-4', 'A-5']
53.5	14	1.0	1.0	0.5	['G4', 'G5']
54.0	14	1.5	0.125	0.5	['E-4', 'G4', 'G5']
54.5	14	2.0	0.25	0.5	['G4', 'G5']
55.0	14	2.5	0.125	0.5	['D4', 'F4', 'A-4', 'A-5']
55.5	14	3.0	0.5	0.5	['B-4', 'B-5']
56.0	14	3.5	0.125	0.5	['D-4', 'G4', 'B-4', 'B-5']
56.5	14	4.0	0.25	0.5	['E-5']
57.0	14	4.5	0.125	0.5	['C4', 'A-4', 'E-5']
57.5	15	1.0	1.0	0.5	['F5']
58.0	15	1.5	0.125	0.5	['B-3', 'A-4', 'D-5', 'F5']
58.5	15	2.0	0.25	0.5	['F5']
59.0	15	2.5	0.125	0.5	['E-4', 'G4', 'B-4', 'D-5']
59.5	15	3.0	0.5	0.5	['A-1', 'A-2', 'C5']
60.0	15	3.5	0.125	0.5	['A-1', 'A-2', 'E-4', 'A-4', 'C5', 'E-5']
60.5	15	4.0	0.25	0.5	['A-1', 'A-2', 'C-5']
61.0	15	4.5	0.125	0.5	['A-1', 'A-2', 'E-4', 'A-4', 'C-5']
61.5	16	1.0	1.0	0.5	['G1', 'G2', 'B-4']
62.0	16	1.5	0.125	0.5	['G1', 'G2', 'E-4', 'B-4', 'E-5']
62.5	16	2.0	0.25	0.5	['G1', 'G2', 'B-4']
63.0	16	2.5	0.125	0.5	['G1', 'G2', 'E-4', 'B-4']
63.5	16	3.0	0.5	0.5	['G1', 'G2', 'E-5']
64.0	16	3.5	0.125	0.5	['G1', 'G2', 'B-3', 'E-4', 'G4', 'E-5']
64.5	16	4.0	0.25	0.5	['A-1', 'A-2', 'C5']
65.0	16	4.5	0.125	0.5	['A-1', 'A-2', 'C4', 'E-4', 'C5']
65.5	17	1.0	1.0	0.5	['B-1', 'B-2', 'B-4']
66.0	17	1.5	0.125	0.5	['B-1', 'B-2', 'B-3', 'E-4', 'G4', 'B-4']
66.5	17	2.0	0.25	0.5	['B-1', 'B-2', 'B-4']
67.0	17	2.5	0.125	0.5	['B-1', 'B-2', 'A-3', 'D4', 'F4']
67.5	17	3.0	0.5	0.5	['E-1', 'E-2', 'G4']
68.0	17	3.5	0.125	0.5	['E-1', 'E-2', 'G3', 'E-4', 'G4']
68.5	17	4.0	0.25	0.5	['E-1', 'E-2', 'B-4']
69.0	17	4.5	0.125	0.5	['E-1', 'E-2', 'E-4', 'G4', 'B-4']
69.5	18	1.0	1.0	0.5	['D-5']
70.0	18	1.5	0.125	0.5	['F-3', 'A-4', 'D-5', 'A-5']
70.5	18	2.0	0.25	0.5	['F-3', 'A-3', 'G4', 'D-5', 'G5']
71.0	18	2.5	0.125	0.5	['F-3', 'D-4', 'A-4', 'B-4', 'D-5', 'G5']
71.5	18	3.0	0.5	0.5	['E-3', 'G4', 'B-4', 'D-5', 'B-5']
72.0	18	3.5	0.125	0.5	['E-3', 'G3', 'B-4', 'D-5', 'B-5']
72.5	18	4.0	0.25	0.5	['E-3', 'B-3', 'B-4', 'D-5', 'D5', 'E-5']
73.0	18	4.5	0.125	0.5	['E-3', 'D-4', 'B-4', 'D-5', 'E-5']
73.5	19	1.0	1.0	0.5	['D-3', 'F-5']
